Study,Study_ID,BrainBankNetworkID,Brain region,Sample_Name
MAP,IGFQ001462,BBN001.30883,DPFC,BBN001_30883_DPFC_S1
MAP,IGFQ001462,BBN001.35182,DPFC,BBN001_35182_DPFC_S1
MAP,IGFQ001509,BBN001.35182,MTG,BBN001_35182_MTG_S1
MAP,IGFQ001462,BBN001.35182,MTG,BBN001_35182_MTG_S1
MAP,IGFQ001462,BBN002.26278,DPFC,BBN002_26278_DPFC_S1
MAP,IGFQ001509,BBN002.26278,MTG,BBN002_26278_MTG_S1
MAP,IGFQ001462,BBN002.26278,MTG,BBN002_26278_MTG_S1
MAP,IGFQ001462,BBN002.28858,DPFC,BBN002_28858_DPFC_S1
MAP,IGFQ001462,BBN002.28858,MTG,BBN002_28858_MTG_S1
MAP,IGFQ001462,BBN002.30840,DPFC,BBN002_30840_DPFC_S1
MAP,IGFQ001462,BBN002.30840,MTG,BBN002_30840_MTG_S1
MAP,IGFQ001462,BBN002.32628,DPFC,BBN002_32628_DPFC_S1
MAP,IGFQ001462,BBN002.32628,MTG,BBN002_32628_MTG_S1
MAP,IGFQ001462,BBN002.32844,DPFC,BBN002_32844_DPFC_S1
MAP,IGFQ001462,BBN002.32844,MTG,BBN002_32844_MTG_S1
MAP,IGFQ001509,BBN002.35951,DPFC,BBN002_35951_DPFC_S1
MAP,IGFQ001462,BBN002.35951,DPFC,BBN002_35951_DPFC_S1
MAP,IGFQ001509,BBN002.35951,MTG,BBN002_35951_MTG_S1
MAP,IGFQ001462,BBN002.35951,MTG,BBN002_35951_MTG_S1
MAP,IGFQ001509,BBN002.36130,DPFC,BBN002_36130_DPFC_S1
MAP,IGFQ001462,BBN002.36130,DPFC,BBN002_36130_DPFC_S1
MAP,IGFQ001509,BBN002.36130,MTG,BBN002_36130_MTG_S1
MAP,IGFQ001462,BBN002.36130,MTG,BBN002_36130_MTG_S1
MAP,IGFQ001509,BBN006.30165,DPFC,BBN006_30165_DPFC_S1
MAP,IGFQ001462,BBN006.30165,DPFC,BBN006_30165_DPFC_S1
MAP,IGFQ001509,BBN006.30165,MTG,BBN006_30165_MTG_S1
MAP,IGFQ001462,BBN006.30165,MTG,BBN006_30165_MTG_S1
MAP,IGFQ001509,BBN006.30889,DPFC,BBN006_30889_DPFC_S1
MAP,IGFQ001462,BBN006.30889,DPFC,BBN006_30889_DPFC_S1
MAP,IGFQ001509,BBN006.30889,MTG,BBN006_30889_MTG_S1
MAP,IGFQ001462,BBN006.30889,MTG,BBN006_30889_MTG_S1
MAP,IGFQ001462,BBN006.34151,DPFC,BBN006_34151_DPFC_S1
MAP,IGFQ001509,BBN006.34151,MTG,BBN006_34151_MTG_S1
MAP,IGFQ001462,BBN006.34151,MTG,BBN006_34151_MTG_S1
MAP,IGFQ001462,BBN006.35417,DPFC,BBN006_35417_DPFC_S1
MAP,IGFQ001462,BBN006.35417,MTG,BBN006_35417_MTG_S1
MAP,IGFQ001462,BBN006.35453,DPFC,BBN006_35453_DPFC_S1
MAP,IGFQ001509,BBN006.35453,MTG,BBN006_35453_MTG_S1
MAP,IGFQ001462,BBN006.35453,MTG,BBN006_35453_MTG_S1
MAP,IGFQ001462,BBN006.35513,DPFC,BBN006_35513_DPFC_S1
MAP,IGFQ001509,BBN006.35513,MTG,BBN006_35513_MTG_S1
MAP,IGFQ001462,BBN006.35513,MTG,BBN006_35513_MTG_S1
MAP,IGFQ001462,BBN006.35560,DPFC,BBN006_35560_DPFC_S1
MAP,IGFQ001462,BBN006.35560,MTG,BBN006_35560_MTG_S1
MAP,IGFQ001462,BBN006.36102,DPFC,BBN006_36102_DPFC_S1
MAP,IGFQ001462,BBN006.36102,MTG,BBN006_36102_MTG_S1
MAP,IGFQ001462,BBN006.36107,DPFC,BBN006_36107_DPFC_S1
MAP,IGFQ001462,BBN006.36107,MTG,BBN006_36107_MTG_S1
MAP,IGFQ001462,BBN006.36170,DPFC,BBN006_36170_DPFC_S1
